قد	لقد
ودع	أهلاً
أخرى	دعونا
أن	اخرى
وشك	أنّك
فعل	وشك
سوف	فعلاً
عائلة	وسوف
أفعل	عائلة
عدم	افعل
أخبر	عدم
كثير	أخبرتك
سيدى	كثيرا
رئيس	سيدى
أنا	رئيس
غرفة	فأنا
حسب	الغرفة
مساعدة	وحسب
خارج	المساعدة
بعيد	الخارج
أعطني	بعيداً
اذن	أعطني
سيء	اذن
عديد	سيء
أصبح	العديد
طبيب	أصبحت
رسالة	الطبيب
خمس	رسالة
كان	خمسة
ذهب	كَانَ
عشاء	يذهب
فتاة	العشاء
نساء	الفتيات
ضد	النساء
حصل	ضد
قام	تحصل
جيد	نقوم
هم	جيدا
ب	يهم
موضوع	بهم
في	الموضوع
ممكن	وفي
آخر	الممكن
فتى	اخر
مباشرة	الفتى
أمر	مباشرة
تذكر	بالأمر
بيت	أتذكر
مايك	بيت
أن	مايك
طريقة	لأني
ساعة	بطريقة
حين	ساعات
فترة	حينما
شخص	فترة
نيويورك	الأشخاص
رأى	نيويورك
أنت	أراك
شكر	أنتي
اسم	شكرًا
قصة	اسم
وجد	قصة
قادم	توجد
امرأة	القادمة
فتى	امرأة
أنا	فتى
أفضل	أَنا
حقيقي	افضل
واسطة	حقيقي
مجنون	بواسطة
زوجة	مجنون
أهذا	زوجتي
متأكد	أهذا
ذاهب	متأكدة
حصل	ذاهب
أحب	يحصل
تعرف	تحب
نهاية	أتعرف
مكتب	النهاية
لن	مكتب
مثل	ولن
ان	مثلك
خارج	اننا
هذا	بالخارج
حق	لهذه
بلى	الحق
أصدق	بلى
خر	أصدق
أمل	أخر
اه	آمل
أن	اه
إطلاق	أنْ
فرنك	الإطلاق
طلب	فرانك
بدأ	طلب
لعبة	بدأ
مرحبا	لعبة
جورج	مرحبًا
قريب	جورج
ان	قريباً
مجموعة	اني
أمام	مجموعة
حديث	أمام
جي	الحديث
مساعدة	جي
حاول	مساعدتك
شخص	حاول
حقيقة	شخصاً
جميع	حقيقة
لقاء	جميعا
بعد	اللقاء
مدى	وبعد
صورة	مدى
أن	صورة
سوى	بأنها
تفكير	سوى
ملك	التفكير
أخير	الملك
ثاني	الأخيرة
هو	الثانية
من	فهو
تحدث	مِن
في	تحدث
وضع	فيما
عدد	الوضع
حفلة	عدد
لكن	حفلة
ليس	ولكني
بقي	لسنا
شيء	تبقى
مدينة	بشيء
هذا	مدينة
كل	كهذا
انتهى	كلها
كل	انتهى
حاول	كُلّ
نحو	يحاول
شهر	نحو
مثير	أشهر
شركة	مثير
فهم	شركة
اسف	تفهم
جديد	اسف
كل	الجديدة
صديق	لكل
نوع	أصدقاء
جيد	النوع
أي	الجيد
إلى	اى
أن	إليها
ميت	بأني
بين	ميت
رب	بيننا
عملية	الرب
ذو	عملية
بيتر	ذو
بعض	بيتر
قضية	بعضنا
كل	القضية
أحضر	وكل
قيد	أحضر
تشارلي	قيد
أخرج	تشارلي
قادم	أخرج
واضح	قادم
دعيني	الواضح
فضل	دعيني
توم	تفضل
أتى	توم
أيض	أتيت
سمع	أيضًا
أخذ	أسمع
قول	تأخذ
عائلة	قول
نفس	العائلة
موعد	بنفسك
عند	موعد
ثني	عندي
ممكن	أثناء
أخبر	ممكن
إذا	تخبرني
كبير	إذًا
صاحي	الكبير
إنتظر	صاح
زواج	إنتظر
فعل	الزواج
ب	فعلته
لكن	بكِ
حبيب	ولكنه
ذكر	حبيبتي
أم	تذكر
مستحيل	أمك
اعتقد	مستحيل
مليون	اعتقدت
إلى	مليون
علم	إليّ
قال	علم
طلب	قل
رب	طلبت
ذاك	ربّما
حسن	ذاك
آخر	حسن
احتاج	الأخرى
عاد	يحتاج
إلهي	تعود
زال	الهي
نسي	زلت
وصل	نسيت
انتظر	وصلت
علم	انتظري
أن	نعلم
نظر	أنّي
إذهب	النظر
أتريد	إذهب
عدة	أتريد
حدث	عدة
ابن	سيحدث
لدى	ابن
صعب	لديكِ
تقريب	الصعب
حظ	تقريباً
ألف	الحظ
مساعدة	ألف
أصبح	مساعدة
قام	تصبح
جين	سأقوم
جاء	جين
خلف	جئت
خمس	خلف
د	خمس
حقيقي	د
من	الحقيقي
دي	منكم
أمكن	دي
أربع	يمكنكِ
قليل	أربعة
زال	القليل
دم	يزال
إن	الدم
أسرع	إننا
بداية	أسرع
عاد	البداية
صعب	سأعود
بعيد	صعب
كان	بعيدا
عرض	كن
كثير	عرض
عند	بكثير
اسم	وعندما
فكر	اسمه
آنس	تفكر
اعتقد	آنسة
فقد	تعتقدين
مهم	فقدت
تحدث	مهم
ذلك	يتحدث
أي	بتلك
بعد	لأي
أراد	بعدها
يوم	يريدون
عاد	يوماً
جاء	يعود
هناك	جاء
أتعلمين	هُناك
ترك	أتعلمين
مناسب	ترك
سؤال	المناسب
أكون	السؤال
آخر	اكون
قصد	الآخرين
اتصل	تقصد
بدا	اتصل
عمل	تبدين
مع	للعمل
تالي	معهم
شرطة	التالي
قط	شرطة
جريمة	قط
بحث	جريمة
توقف	أبحث
نفس	توقفي
شمس	بنفسي
فكر	الشمس
افترض	فكرت
سماء	يفترض
وصول	السماء
جانب	الوصول
حصل	الجانب
عشر	أحصل
معا	عشرة
داخل	معا
عاد	الداخل
معلومة	أعود
حمل	المعلومات
حسن	تحمل
طفل	حَسناً
ثاني	أطفال
جيد	الثاني
هذه	جيّد
بعض	هذة
يارجل	ببعض
ماري	يارجل
ب	ماري
وداع	بكم
عد	وداعاً
يوم	يعد
أسوأ	الأيام
مشكلة	أسوأ
بحث	البحث
فعل	ستفعل
اسم	اسمي
حتى	حتّى
أي	أيّها
دخول	الدخول
حلقة	الحلقة
قتل	قتلت
قال	يقولون
ايض	ايضاً
أن	لأنها
فعل	فعلا
بضع	بضعة
نوع	نوعاً
عن	عما
جزء	الجزء
أقول	اقول
لحظة	اللحظة
قديم	القديمة
من	مَن
مخدر	المخدرات
ست	ستة
هذا	وهذه
مستشفى	المستشفى
رأى	نرى
كلام	الكلام
ذهب	سنذهب
أنت	وانت
أكر	أكره
جريمة	الجريمة
خاص	خاصة
اتفق	اتفقنا
أخذ	أخذت
رائع	رائعاً
طال	طالما
حين	أحياناً
على	عليكم
إمكان	بإمكاني
أن	وأن
دكتور	الدكتور
قائد	القائد
أن	بأننا
منطقة	المنطقة
أمكن	يُمْكِنُ
خطأ	الخطأ
طلب	أطلب
أنت	انتِ
عاش	تعيش
شيء	الاشياء
فترة	لفترة
زوجة	زوجتك
أحب	يحب
معذرة	المعذرة
فريق	الفريق
صورة	الصورة
نفس	نفسها
لكن	لكننا
اتصال	الاتصال
الذي	والذي
بعد	وبعدها
لا	فلا
أن	بأنّ
مختلف	مختلفة
جد	جدًا
شعر	شعرت
حق	حقًا
شارع	الشارع
إمكان	بإمكانك
غد	غدا
طائرة	الطائرة
فعل	فعلها
انتهى	ينتهي
لكن	ولكنني
قانون	القانون
رأى	رأيته
انتظر	أنتظر
هواء	الهواء
عمل	بعمل
كتاب	الكتاب
كان	سنكون
اهتم	أهتم
شدة	بشدة
قتل	القتل
عثور	العثور
مرة	مرات
وجب	يَجِبُ
ابن	ابني
شعور	الشعور
إذا	وإذا
أولائك	أولئك
إن	إني
وجد	أجد
مع	معكِ
ثاني	ثانيةً
أحد	أحداً
لم	لمْ
عاش	يعيش
أخير	أخيراً
حال	حالاً
إن	إنّي
إن	فإن
سنة	السنة
قاتل	القاتل
قد	ولقد
علم	تعلمون
سيطرة	السيطرة
عمل	ستعمل
اعتقد	يعتقد
زوج	زوجي
علم	علمت
عمل	عملي
قادم	القادم
هل	وهل
زال	تزال
عرض	العرض
صحيح	الصحيح
قصة	القصة
ترك	تركت
مات	يموت
نظر	أنظري
مكتب	المكتب
فعل	تفعلي
أخرج	اخرج
صور	الصور
عاد	عدت
لعبة	اللعبة
رغب	ترغب
كيف	وكيف
اسم	اسمك
وغد	الوغد
تدني	داني
بحث	تبحث
اسمع	اسمعي
لكن	ولكنك
سار	سارة
سفينة	السفينة
وضع	وضعت
حقيقي	حقيقية
نظر	تنظر
أن	بأنّك
ود	تود
كامل	بالكامل
أبد	ابدا
ثم	ثمّ
شاب	شباب
بلدة	البلدة
قهوة	القهوة
محتمل	المحتمل
حين	حينها
رغب	أرغب
مر	مره
خرج	تخرج
مازال	مازلت
استطاع	تستطيعين
معلومة	معلومات
أشعر	اشعر
انظر	انظروا
شيء	شيئًا
كان	كوني
فرصة	الفرصة
قلب	قلبي
خط	الخط
إن	إنّ
شئ	الشئ
تب	تبا
صديق	صديقك
مجدد	مجددا
وجد	تجد
وجد	نجد
جعل	يجعل
أصبح	يصبح
بشر	البشر
بدأ	تبدأ
ملك	تملك
ملك	أملك
تم	تمت
عرف	أعرفه
بحر	البحر
رؤية	رؤيتك
أم	امي
رأس	رأسك
خبر	الأخبار
استحق	يستحق
عميل	العميل
محكمة	المحكمة
هذا	هـذا
ودع	دعينا
أن	أنّها
قلق	تقلقي
أرجح	الأرجح
داخل	بالداخل
منزل	منزلي
قديم	القديم
خائف	خائفة
كثير	كثيرة
حصول	للحصول
قام	قامت
مشكلة	المشاكل
كل	كلنا
ماذا	بماذا
أنا	أنـا
كل	كلما
أجل	أجلك
غد	الغد
مات	ماتت
تعلق	يتعلق
اذ	اذاً
سيد	سيّدي
خبر	أخبار
عائلة	عائلتي
قلب	القلب
حالة	الحالة
إمرأ	إمرأة
موسيقى	الموسيقى
إلى	إلينا
كلا	كلّا
رجا	ارجوك
قيادة	القيادة
أن	لأننا
شركة	الشركة
عيش	العيش
بارح	البارحة
قوة	القوة
جدر	يجدر
أمكن	يمكنها
كاد	بالكاد
طابق	الطابق
عاهرة	العاهرة
قول	القول
تحدث	تحدثت
ميلاد	الميلاد
عمل	عملك
نقد	النقود
أول	أولا
لن	فلن
رجل	رجلاً
عند	عندك
كان	وكنت
قال	قلته
أحمق	الأحمق
حياة	حياته
كبير	الكبيرة
سابق	السابقة
ملبس	الملابس
أبدى	يبدوا
قال	وقال
أبد	للأبد
نفس	بنفس
شخص	أشخاص
إلا	وإلا
أمن	الأمن
أكثر	الأكثر
سابق	السابق
أفعل	أفعله
خشي	أخشى
سلاح	السلاح
مات	تموت
لكن	ولكنها
فعل	سنفعل
بعض	لبعض
هم	وهم
دم	الدماء
اثنان	اثنين
ل	لكَ
وعد	أعدك
وقت	وقتاً
أراد	تريده
أسبوع	أسابيع
كان	يكونوا
جيش	الجيش
هذا	فهذا
أخبر	أخبرتني
اعتذر	أعتذر
كلا	كلانا
قام	سنقوم
واحد	واحداً
أنت	فأنت
متحد	المتحدة
لعين	اللعينة
يد	يديك
كلب	الكلب
طال	لطالما
حمام	الحمام
غير	الغير
بنون	بني
هدف	الهدف
أخير	الأخير
وجد	وجدنا
أنتم	انتم
من	لمن
أحب	احب
جانب	بجانب
تقريب	تقريبا
أمر	الامور
قوي	قوية
عام	عاماً
أظن	اظن
حفلة	الحفلة
بدأ	نبدأ
غريب	غريبة
هم	فهم
ذلك	وذلك
كفاية	الكفاية
ثالث	الثالث
تعامل	التعامل
انتظار	الانتظار
ها	هاه
قل	تقل
رائح	رائحة
فيلم	الفيلم
حبيب	حبيبي
بيل	بيلي
مكان	مكانك
عمل	نعمل
صوت	الصوت
ماء	المياه
الذي	والتي
مثل	مثلي
خلف	الخلف
قريب	قريبا
ابنة	ابنتي
كان	كُنت
أن	أنكم
مستقبل	المستقبل
خرج	خرجت
إثن	إثنان
وجه	وجهي
هراء	الهراء
مثير	مثيرة
إتصال	الإتصال
من	منكِ
والد	والدتك
أخت	أختي
ليس	ليسوا
جميل	الجميلة
مبنى	المبنى
أن	بأنّه
نظام	النظام
لدى	لديكم
قدر	ِ
هاري	بقدر
بحث	هاري
وصل	نبحث
بدل	تصل
كان	بدلاً
درجة	كنتَ
رغم	درجة
ليس	الرغم
مناسبة	لَيسَ
طريق	بالمناسبة
قادم	طريقي
مرة	قادمة
آل	مرّة
سرير	السرير
وجه	وجهك
أمر	أمراً
لكن	لكنّي
إن	وإن
سيارة	السيارات
مهمة	المهمة
الله	بالله
أهل	أهلا
اذهب	اذهبي
زوجة	زوجته
قبض	القبض
بلد	بلدي
من	مـن
لاحق	لاحقا
شاب	الشاب
عجوز	العجوز
عاد	نعود
سيد	سيّد
أب	الأب
عمل	عملت
أنت	وأنتِ
أحضر	أحضرت
لو	ولو
كرة	الكرة
وصل	يصل
موجود	موجودة
حصل	نحصل
ثالث	الثالثة
أي	أياً
لعب	اللعب
مسيح	المسيح
نحن	نحنُ
فعل	يفعله
محق	محقة
هي	فهي
تذكر	تتذكر
أرى	ارى
ملك	يملك
خرج	نخرج
ظهر	تظهر
عد	تعد
جعل	تجعل
طاقة	الطاقة
أراد	أريده
تحدث	تتحدثين
شكر	أشكرك
ذهاب	للذهاب
ها	هاي
مجنون	مجنونة
قتال	القتال
قاضي	القاضي
محقق	المحقق
ظهر	يظهر
ساعد	ساعدني
عملية	العملية
أم	الأم
خرج	يخرج
موسم	الموسم
أخذ	يأخذ
عرف	يعرفون
فعل	فعلتها
هناك	وهناك
ظلام	الظلام
رقص	الرقص
رؤية	لرؤية
ولاية	الولايات
حاول	نحاول
قال	تقولين
قام	قمنا
جعل	يجعلك
اهتم	يهتم
غداء	الغداء
كامل	كاملة
رب	وربما
أحد	إحدى
مدير	المدير
ربما	لربما
نفس	لنفسك
تم	سيتم
تحرك	تتحرك
حيوان	الحيوانات
بيت	بيتي
تفهم	أتفهم
إن	إنهُ
ملبس	ملابس
فندق	الفندق
رجا	أرجوكِ
ضوء	الضوء
لعن	اللعنه
رسالة	الرسالة
حكومة	الحكومة
صديق	صديقة
عرف	تَعْرفُ
قرر	قررت
مستعد	مستعدة
أعلى	الأعلى
يد	يدك
مهم	المهم
جزل	جزيلاً
من	منّي
خطة	الخطة
إن	إنّك
وصل	وصلنا
قال	أقوله
اتصل	اتصلت
سمح	سمحت
شعر	يشعر
شيطان	الشيطان
بقي	يبقى
سؤال	الأسئلة
اهتم	تهتم
بين	بيني
أجل	أجلي
تكلم	تتكلم
شعر	تشعرين
دوم	دوماً
كان	كنتم
مع	ومع
قال	سأقول
شعر	الشعر
قول	قوله
واحد	واحده
يك	اليك
عمل	الأعمال
صديق	أصدقائي
يد	يدي
أمكن	يمكنهم
ك	كـ
حصل	حصلنا
باني	بان
وسع	بوسعي
مجرد	بمجرد
مع	معكم
عرف	أَعْرفُ
رقم	الرقم
رأس	رأسي
عاش	أعيش
غابة	الغابة
سمع	تسمع
آنسة	الآنسة
قطار	القطار
أحسن	أحسنت
تلفاز	التلفاز
لماذا	ولماذا
سلامة	السلامة
جميع	جميعنا
صورة	صور
دعا	يدعى
عظيم	عظيمة
عمر	العمر
بلد	البلاد
أراد	اردت
إلى	اليه
قال	تقوله
أبد	ابداً
بيت	للبيت
أخبر	سأخبرك
على	وعلى
فتاة	فتيات
عذر	عذراً
ربى	رباه
دم	دماء
توقف	تتوقف
لحم	اللحم
قدم	القدم
قال	قالوا
بدا	أبدو
عمل	بالعمل
ضحية	الضحية
أبيض	الأبيض
انتهى	تنتهي
راوند	لنرى
مؤخر	مؤخراً
رائع	الرائع
وضع	تضع
سلاح	الأسلحة
دفاع	الدفاع
إضافة	بالإضافة
بعض	بعضهم
أمان	بأمان
وثق	أثق
ظن	تظنين
تاريخ	التاريخ
تالي	التالية
سار	تسير
ولد	الأولاد
مساعدة	مساعدتي
أمر	أمور
ألم	الألم
ابن	بن
حين	الأحيان
شاحنة	الشاحنة
كلمة	الكلمات
توقف	التوقف
كان	كنّا
وداع	وداعا
سابق	سابقاً
اسم	اسمها
اهل	اهلا
تدني	دان
أمر	امر
أتمنى	اتمنى
جاهز	جاهزة
شخص	لشخص
قال	تقولي
جون	جوني
أخذ	خذي
كنيسة	الكنيسة
ذهب	ستذهب
مفضل	المفضل
كان	اكن
عمل	عمله
قبيل	القبيل
رغم	بالرغم
صف	الصف
لكن	لكنهم
جلوس	الجلوس
سرعة	السرعة
شراب	الشراب
جميل	الجميل
فكرة	الفكرة
قرب	بالقرب
شخصية	الشخصية
قمر	القمر
ألف	آلاف
اتصل	تتصل
كان	وكانت
هذا	كهذه
ثانوي	الثانوية
أو	أَو
ذلك	وكذلك
مرة	مرتين
كان	ستكونين
سبع	سبعة
جير	جيري
إتفق	إتفقنا
رأى	يرى
أن	بأنكِ
جعل	يجعلني
رأى	أراه
عرف	تعرفي
زمن	الزمن
قتل	قتله
درجة	الدرجة
الله	لله
انتهى	انتهت
دخل	دخلت
خروج	للخروج
كل	كُل
سلام	السلام
أم	أمّي
شيء	شيءٍ
سيد	السادة
ترجمة	الترجمة
دخل	تدخل
كل	الكل
وصل	نصل
صندوق	الصندوق
منزل	منزلك
حقيقي	الحقيقية
رئيسي	الرئيسي
زوج	زوجك
طويل	طويلاً
عمل	أعمال
تحكم	التحكم
طبع	طبعاً
هذا	ولهذا
سعيد	سعيداً
قام	قاموا
شاب	الشباب
أمكن	يمكنكم
أسود	الأسود
طلب	تطلب
بدأ	يبدأ
والد	والدتي
صديق	صديقتي
عائلة	عائلتك
يوم	يومين
شأن	بشأنه
رحيل	الرحيل
توقع	أتوقع
نجدة	النجدة
بحث	يبحث
غاضب	غاضبة
يوم	يوما
عرف	تعرفه
أفضل	الافضل
قتل	يقتل
سيارة	سيارتي
أبد	أبدًا
مفتاح	المفتاح
ضغط	الضغط
رحلة	الرحلة
لعب	تلعب
تم	تمّ
